step,x,y,yaw,e_y,e_yaw,t,delta,v_ref
213,89506.8,43305.6,2.18456,6.42331e-12,-9.12159e-13,0,-3.99947e-12,10
214,89506.2,43306.4,2.18456,9.49285e-12,-2.9341e-12,0,-4.04405e-12,10
215,89505.6,43307.2,2.18456,1.25482e-11,-4.97069e-12,0,-4.07336e-12,10
216,89505.1,43308.1,2.18456,1.14113e-11,-7.00773e-12,0,-4.07372e-12,10
217,89504.5,43308.9,2.18456,-1.60583e-12,-7.36744e-12,0,-7.1978e-13,10
218,89503.9,43309.7,2.18456,-1.46514e-11,-2.30482e-12,0,1.01256e-11,10
219,89503.3,43310.5,2.18456,-1.15961e-11,4.93872e-12,0,1.44869e-11,10
220,89502.7,43311.3,2.18456,-8.54072e-12,6.61382e-12,0,3.35039e-12,10
221,89502.2,43312.2,2.18456,-5.47118e-12,6.06182e-12,0,-1.10401e-12,10
222,89501.6,43313,2.18456,-2.41585e-12,4.6132e-12,0,-2.89724e-12,10
223,89501,43313.8,2.18456,6.39488e-13,2.81153e-12,0,-3.60316e-12,10
224,89500.4,43314.6,2.18456,3.69482e-12,8.68638e-13,0,-3.88543e-12,10
225,89499.9,43315.4,2.18456,6.76437e-12,-1.13065e-12,0,-3.99822e-12,10
226,89499.3,43316.2,2.18456,9.8197e-12,-3.15792e-12,0,-4.05471e-12,10
227,89498.7,43317.1,2.18456,1.2875e-11,-5.19096e-12,0,-4.06626e-12,10
228,89498.1,43317.9,2.18456,1.17382e-11,-7.22622e-12,0,-4.07088e-12,10
229,89497.6,43318.7,2.18456,-1.29319e-12,-7.58593e-12,0,-7.19069e-13,10
230,89497,43319.5,2.18456,-1.43245e-11,-2.5171e-12,0,1.01377e-11,10
231,89496.4,43320.3,2.18456,-1.12692e-11,4.72289e-12,0,1.44802e-11,10
232,89495.8,43321.1,2.18456,-8.19966e-12,6.39666e-12,0,3.3479e-12,10
233,89495.3,43322,2.18456,-5.14433e-12,5.83844e-12,0,-1.11626e-12,10
234,89494.7,43322.8,2.18456,-2.089e-12,4.39293e-12,0,-2.89067e-12,10
235,89494.1,43323.6,2.18456,9.66338e-13,2.59259e-12,0,-3.60032e-12,10
236,89493.5,43324.4,2.18456,4.02167e-12,6.50591e-13,0,-3.88418e-12,10
237,89493,43325.2,2.18456,7.09122e-12,-1.34825e-12,0,-3.99805e-12,10
238,89492.4,43326,2.18456,1.01466e-11,-3.37597e-12,0,-4.05507e-12,10
239,89491.8,43326.9,2.18456,1.32019e-11,-5.40901e-12,0,-4.06608e-12,10
240,89491.2,43327.7,2.18456,1.2065e-11,-7.44427e-12,0,-4.0707e-12,10
241,89490.7,43328.5,2.18456,-9.66338e-13,-7.80354e-12,0,-7.18892e-13,10
242,89490.1,43329.3,2.18456,-1.39977e-11,-2.7347e-12,0,1.01373e-11,10
243,89489.5,43330.1,2.18456,-1.09281e-11,4.50529e-12,0,1.44798e-11,10
244,89488.9,43331,2.18456,-7.87281e-12,6.17328e-12,0,3.33618e-12,10
245,89488.4,43331.8,2.18456,-4.81748e-12,5.61862e-12,0,-1.10969e-12,10
246,89487.8,43332.6,2.18456,-1.76215e-12,4.17444e-12,0,-2.88836e-12,10
247,89487.2,43333.4,2.18456,1.29319e-12,2.37455e-12,0,-3.59961e-12,10
248,89486.6,43334.2,2.18456,4.36273e-12,4.32543e-13,0,-3.884e-12,10
249,89486,43335,2.18456,7.41807e-12,-1.57208e-12,0,-4.00924e-12,10
250,89485.5,43335.9,2.18456,1.04592e-11,-3.59623e-12,0,-4.04796e-12,10
251,89484.9,43336.7,2.18456,1.35145e-11,-5.62217e-12,0,-4.05187e-12,10
252,89484.3,43337.5,2.18456,4.9738e-13,-7.65477e-12,0,-4.06501e-12,10
253,89483.7,43338.3,2.18456,-1.2534e-11,-3.26095e-12,0,8.78781e-12,10
254,89483.2,43339.1,2.18456,-9.47864e-12,3.70903e-12,0,1.39403e-11,10
255,89482.6,43339.9,2.18456,-6.4091e-12,5.27489e-12,0,3.13207e-12,10
256,89482,43340.8,2.18456,-3.35376e-12,4.67359e-12,0,-1.20259e-12,10
257,89481.4,43341.6,2.18456,-2.98428e-13,3.21076e-12,0,-2.9253e-12,10
258,89480.9,43342.4,2.18456,2.75691e-12,1.40377e-12,0,-3.61418e-12,10
259,89480.3,43343.2,2.18456,5.82645e-12,-5.41345e-13,0,-3.89004e-12,10
260,89479.7,43344,2.18456,8.86757e-12,-2.5473e-12,0,-4.01155e-12,10
261,89479.1,43344.9,2.18456,1.19229e-11,-4.56613e-12,0,-4.0373e-12,10
262,89478.6,43345.7,2.18456,1.0786e-11,-6.59561e-12,0,-4.05898e-12,10
263,89478,43346.5,2.18456,-2.2311e-12,-6.95266e-12,0,-7.14095e-13,10
264,89477.4,43347.3,2.18456,-1.52625e-11,-1.88871e-12,0,1.01281e-11,10
265,89476.8,43348.1,2.18456,-1.22071e-11,5.3495e-12,0,1.44764e-11,10
266,89476.3,43348.9,2.18456,-9.13758e-12,7.02283e-12,0,3.3463e-12,10
267,89475.7,43349.8,2.18456,-6.08225e-12,6.46416e-12,0,-1.11733e-12,10
268,89475.1,43350.6,2.18456,-3.02691e-12,5.01865e-12,0,-2.8912e-12,10
269,89474.5,43351.4,2.18456,2.84217e-14,3.21831e-12,0,-3.60085e-12,10
270,89474,43352.2,2.18456,3.06954e-12,1.27587e-12,0,-3.88471e-12,10
271,89473.4,43353,2.18456,6.13909e-12,-7.17648e-13,0,-3.98668e-12,10
272,89472.8,43353.8,2.18456,9.19442e-12,-2.74269e-12,0,-4.05009e-12,10
273,89472.2,43354.7,2.18456,1.22498e-11,-4.77485e-12,0,-4.0643e-12,10
