step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
178,89626.3,43146.6,0.403243,-13.4622,0.948048,46.1367,1.396,5,0.281962
179,89626.8,43146.8,-1.0124,-12.8704,-0.454434,46.2839,-1.396,5,0.27937
180,89627,43146.4,0.403243,-12.7841,0.982213,46.3761,1.396,5,0.275233
181,89627.5,43146.6,-1.0124,-12.1735,-0.420276,46.5335,-1.396,5,0.272643
182,89627.8,43146.2,0.403243,-12.0351,1.01782,46.6255,1.396,5,0.26822
183,89628.2,43146.4,-1.0124,-11.4064,-0.384689,46.7945,-1.396,5,0.265634
184,89628.5,43145.9,0.403243,-11.2104,1.05507,46.8863,1.396,5,0.260884
185,89628.9,43146.1,-1.0124,-10.5644,-0.347477,47.0688,-1.396,5,0.258305
186,89629.2,43145.7,0.403243,-10.3043,1.0942,47.1601,1.396,5,0.253176
187,89629.7,43145.9,-1.0124,-9.64237,-0.308407,47.3584,-1.396,5,0.25061
188,89629.9,43145.5,0.403243,-9.31017,1.13552,47.4489,1.396,5,0.245038
189,89630.4,43145.7,-1.0124,-8.63414,-0.2672,47.666,-1.396,5,0.242494
190,89630.7,43145.3,0.403243,-8.36853,1.17032,47.7568,1.396,5,0.235718
191,89631.1,43145.5,-1.0124,-7.82555,-0.241278,47.9938,-1.396,5,0.232501
192,89631.4,43145,0.403243,-7.72746,1.1849,48.0889,1.396,5,0.224109
193,89631.8,43145.2,-1.0124,-7.17724,-0.226513,48.3472,-1.396,5,0.220739
194,89632.1,43144.8,0.403243,-7.05124,1.20061,48.4469,1.396,5,0.211593
195,89632.6,43145,-1.0124,-6.49361,-0.210596,48.7298,-1.396,5,0.20806
196,89632.8,43144.6,0.403243,-6.33663,1.21762,48.8343,1.396,5,0.198043
197,89633.3,43144.8,-1.0124,-5.77158,-0.193373,49.1455,-1.396,5,0.19434
198,89633.6,43144.3,0.403243,-5.58041,1.2361,49.2548,1.396,5,0.18332
199,89634,43144.5,-1.0124,-5.00826,-0.174679,49.5981,-1.396,5,0.17945
200,89634.3,43144.1,0.403243,-4.77989,1.25623,49.7117,1.396,5,0.167289
201,89634.7,43144.3,-1.0124,-4.20143,-0.154364,50.0908,-1.396,5,0.163267
202,89635,43143.9,0.403243,-3.93368,1.27813,50.2074,1.396,5,0.149842
