step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
200,89631.4,43161.3,-0.859415,-19.4566,-3.07564,23.0466,-0.0272435,3,0
201,89631.6,43161.1,-0.863502,-19.4763,-3.07973,22.7471,-0.0272435,3,0
202,89631.8,43160.8,-0.86759,-19.4949,-3.08381,22.4476,-0.0272435,3,0
203,89632,43160.6,-0.871678,-19.5122,-3.0879,22.1481,-0.0272435,3,0
204,89632.2,43160.4,-0.873089,-19.5283,-3.08931,21.8485,-0.00940892,3,0
205,89632.4,43160.1,-0.8745,-19.544,-3.09072,21.5489,-0.00940892,3,0
206,89632.5,43159.9,-0.875912,-19.5592,-3.09214,21.2492,-0.00940892,3,0
207,89632.7,43159.7,-0.877323,-19.5741,-3.09355,20.9496,-0.00940892,3,0
208,89632.9,43159.5,-0.878734,-19.5885,-3.09496,20.6499,-0.00940892,3,0
209,89633.1,43159.2,-0.880146,-19.6025,-3.09637,20.3502,-0.00940892,3,0
210,89633.3,43159,-0.881557,-19.616,-3.09778,20.0505,-0.00940892,3,0
211,89633.5,43158.8,-0.882969,-19.6292,-3.09919,19.7508,-0.00940892,3,0
212,89633.7,43158.5,-0.88438,-19.6419,-3.1006,19.451,-0.00940892,3,0
213,89633.9,43158.3,-0.885791,-19.6542,-3.10202,19.1513,-0.00940892,3,0
214,89634.1,43158.1,-0.886494,-19.666,-3.10272,18.8515,-0.00468361,3,0
215,89634.3,43157.8,-0.887196,-19.6777,-3.10342,18.5517,-0.00468361,3,0
216,89634.5,43157.6,-0.887899,-19.6892,-3.10412,18.2519,-0.00468361,3,0
217,89634.6,43157.4,-0.888602,-19.7004,-3.10483,17.9521,-0.00468361,3,0
218,89634.8,43157.1,-0.889304,-19.7114,-3.10553,17.6523,-0.00468361,3,0
219,89635,43156.9,-0.890007,-19.7222,-3.10623,17.3525,-0.00468361,3,0
220,89635.2,43156.7,-0.890709,-19.7328,-3.10693,17.0527,-0.00468361,3,0
221,89635.4,43156.4,-0.891412,-19.7432,-3.10764,16.7529,-0.00468361,3,0
222,89635.6,43156.2,-0.892114,-19.7534,-3.10834,16.453,-0.00468361,3,0
223,89635.8,43156,-0.892817,-19.7634,-3.10904,16.1532,-0.00468361,3,0
224,89636,43155.7,-0.893095,-19.7732,-3.10932,15.8533,-0.00185793,3,0
225,89636.2,43155.5,-0.893374,-19.7828,-3.1096,15.5535,-0.00185793,3,0
226,89636.3,43155.3,-0.893653,-19.7924,-3.10988,15.2536,-0.00185793,3,0
227,89636.5,43155,-0.893932,-19.802,-3.11016,14.9538,-0.00185793,3,0
228,89636.7,43154.8,-0.89421,-19.8114,-3.11043,14.6539,-0.00185793,3,0
229,89636.9,43154.6,-0.894489,-19.8207,-3.11071,14.3541,-0.00185793,3,0
230,89637.1,43154.3,-0.894768,-19.83,-3.11099,14.0542,-0.00185793,3,0
