s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
121.6879775,89643.4286450,43145.9518145,2.1606917,-0.0397711,17.04685394330542,0.9999999999999793
122.3876519,89643.0475614,43146.5386020,2.1329997,-0.0393839,17.087848846033257,0.9999999999999715
123.0873493,89642.6827783,43147.1356864,2.1142610,-0.0141793,17.12874697813298,1.0000000000000024
123.7870581,89642.3239310,43147.7363702,2.1075188,-0.0050922,17.169548353163663,1.0000000000000115
124.4867673,89641.9672261,43148.3383291,2.1047157,-0.0029201,17.21025301858201,1.0000000000000018
125.1864767,89641.6117517,43148.9410158,2.1033867,-0.0008786,17.250861655395727,1.0000000000000164
125.8861862,89641.2566479,43149.5439209,2.1038599,0.0022310,17.291374921844906,0.9999999999999974
126.5858954,89640.9006034,43150.1462707,2.1062884,0.0047106,17.331793475923025,1.0000000000000053
127.2856044,89640.5425756,43150.7474437,2.1097651,0.0052270,17.372117987549203,0.9999999999999649
127.9853136,89640.1823515,43151.3473032,2.1128338,0.0035444,17.41234911117762,0.9999999999999718
128.6850229,89639.8206407,43151.9462677,2.1147543,0.0019450,17.452487509533373,0.9999999999999579
129.3847323,89639.4581150,43152.5447394,2.1159997,0.0016148,17.492533809914917,1.0000000000000377
130.0844417,89639.0949134,43153.1428011,2.1174906,0.0026466,17.53248863756736,1.000000000000022
130.7841510,89638.7306049,43153.7401891,2.1200446,0.0046536,17.57235261506385,1.000000000000013
131.4838601,89638.3643533,43154.3363875,2.1236232,0.0055752,17.612126349345736,0.9999999999999859
132.1835689,89637.9957788,43154.9311524,2.1275400,0.0056203,17.651810451268744,0.9999999999999807
132.8832779,89637.6248681,43155.5244634,2.1309899,0.0042406,17.69140554662791,1.0000000000000189
133.5829872,89637.2521985,43156.1166715,2.1328424,0.0010545,17.730912237051868,1.0000000000000269
134.2826966,89636.8790919,43156.7086046,2.1324483,-0.0021809,17.77033110777826,1.0000000000000155
134.9824058,89636.5068891,43157.3011061,2.1294027,-0.0065246,17.80966271611796,0.9999999999999594
135.6821143,89636.1373956,43157.8953001,2.1241206,-0.0085733,17.848907614213285,1.0000000000000142
136.3818215,89635.7714738,43158.4916988,2.1170352,-0.0116793,17.888066341312946,0.9999999999999946
137.0815291,89635.4104378,43159.0910682,2.1091285,-0.0109205,17.927139553014904,1.000000000000018
137.7812363,89635.0539923,43159.6931785,2.1018296,-0.0099424,17.966127769039115,1.0000000000000306
138.4809450,89634.7017435,43160.2977552,2.0958118,-0.0072584,18.00503163911272,1.0000000000000036
139.1806539,89634.3525696,43160.9041133,2.0924590,-0.0023248,18.04385164382107,0.9999999999999654
139.8803634,89634.0043822,43161.5110391,2.0922474,0.0017200,18.082588342253928,0.9999999999999615
140.5800725,89633.6554648,43162.1175451,2.0950526,0.0062979,18.12124221555051,0.9999999999999556
141.2797812,89633.3038784,43162.7225072,2.1003594,0.0088708,18.159813783597304,0.9999999999999635
141.9794891,89632.9485441,43163.3252748,2.1068360,0.0096414,18.198303563697298,0.9999999999999908
142.6791970,89632.5891516,43163.9256315,2.1135516,0.0095540,18.23671210453173,1.0000000000000056
143.3789050,89632.2257537,43164.5235723,2.1203424,0.0098563,18.275039926368116,0.9999999999999786
144.0786125,89631.8582409,43165.1189924,2.1278478,0.0115967,18.313287513458114,0.9999999999999678
144.7783192,89631.4859094,43165.7114100,2.1375684,0.0161882,18.351455331857796,1.0000000000000113
145.4780234,89631.1068929,43166.2995703,2.1507208,0.0214061,18.38954380372227,0.6915851798050067
146.1777238,89630.7191120,43166.8819847,2.1673249,0.0260544,18.415839,0.0
146.8774204,89630.3207808,43167.4572304,2.1855299,0.0259824,18.415839,0.0
147.5771187,89629.9120571,43168.0251412,2.2023884,0.0222055,18.415839,0.0
148.2768222,89629.4945563,43168.5866374,2.2157431,0.0159670,18.415839,0.0
148.9765302,89629.0708057,43169.1434379,2.2239304,0.0074349,18.415839,0.0
149.6762393,89628.6441636,43169.6980272,2.2269444,0.0011802,18.415839,0.0
150.3759488,89628.2170635,43170.2522644,2.2267578,-0.0017136,18.415839,0.0
151.0756581,89627.7906282,43170.8070131,2.2255677,-0.0016882,18.415839,0.0
151.7753676,89627.3648485,43171.3622652,2.2256884,0.0020334,18.415839,0.0
152.4750768,89626.9382794,43171.9169109,2.2293616,0.0084659,18.415839,0.0
153.1747837,89626.5084337,43172.4690181,2.2376312,0.0151712,18.415839,0.0
153.8744863,89626.0727541,43173.0165280,2.2507593,0.0223538,18.415839,0.0
154.5741850,89625.6285670,43173.5571537,2.2685400,0.0284701,18.415839,0.0
155.2738799,89625.1737019,43174.0888214,2.2922213,0.0392209,18.415839,0.0
155.9735604,89624.7044292,43174.6077973,2.3233371,0.0497226,18.415839,0.0
156.6732189,89624.2174045,43175.1101209,2.3590311,0.0523080,18.415839,0.0
157.3728854,89623.7123203,43175.5942936,2.3894580,0.0346660,18.415839,0.0
158.0725907,89623.1956135,43176.0661001,2.3958090,-0.0165112,18.415839,0.0
158.7722674,89622.6844124,43176.5438251,2.3565116,-0.0958516,18.415839,0.0
159.4717024,89622.2065345,43177.0545520,2.2602344,-0.1795530,18.415839,0.0
160.1706004,89621.7966793,43177.6206590,2.1102155,-0.2498119,18.415839,0.0
160.8689353,89621.4915937,43178.2488264,1.9243029,-0.2824466,18.415839,0.0
161.5672331,89621.3155287,43178.9245638,1.7323464,-0.2671180,18.415839,0.0
162.2660653,89621.2678452,43179.6217673,1.5653617,-0.2108580,18.415839,0.0
