time,x,y,s,e_y,e_psi,v,delta,ref_x,ref_y
13,89628.2,43128.4,-0.69387,2.96459,-2.66683,4.16667,0.66,89630.1,43130.7
13.05,89628.3,43128.4,-0.864689,2.86935,-2.53209,4.16667,0.66,89630.1,43130.7
13.1,89628.6,43128.3,-1.01794,2.75009,-2.39735,4.16667,0.66,89630.1,43130.7
13.15,89628.8,43128.3,-1.15084,2.60896,-2.26261,4.16667,0.66,89630.1,43130.7
13.2,89629,43128.3,-1.26099,2.44853,-2.12787,4.16667,0.66,89630.1,43130.7
13.25,89629.2,43128.4,-1.34638,2.27169,-1.99313,4.16667,0.66,89630.1,43130.7
13.3,89629.4,43128.5,-1.40547,2.08166,-1.85839,4.16667,0.66,89630.1,43130.7
13.35,89629.6,43128.5,-1.43719,1.88188,-1.72365,4.16667,0.66,89630.1,43130.7
13.4,89629.7,43128.7,-1.44097,1.67598,-1.58891,4.16667,0.66,89630.1,43130.7
13.45,89629.9,43128.8,-1.41672,1.46768,-1.45417,4.16667,0.66,89630.1,43130.7
13.5,89630,43129,-1.3649,1.26076,-1.31942,4.16667,0.66,89630.1,43130.7
13.55,89630.1,43129.1,-1.28645,1.05898,-1.18468,4.16667,0.66,89630.1,43130.7
13.6,89630.2,43129.3,-1.18278,0.865981,-1.04994,4.16667,0.66,89630.1,43130.7
13.65,89630.3,43129.5,-1.05577,0.685274,-0.915203,4.16667,0.66,89630.1,43130.7
13.7,89630.3,43129.7,-0.907731,0.520131,-0.780463,4.16667,0.66,89630.1,43130.7
13.75,89630.3,43129.9,-0.741343,0.373546,-0.645722,4.16667,0.66,89630.1,43130.7
13.8,89630.3,43130.2,-0.559621,0.248176,-0.510982,4.16667,0.66,89630.1,43130.7
13.85,89630.2,43130.4,-0.36586,0.146294,-0.376242,4.16667,0.66,89630.1,43130.7
13.9,89630.1,43130.6,-0.163573,0.0697466,-0.241501,4.16667,0.66,89630.1,43130.7
13.95,89630,43130.7,0.0435746,0.0199215,-0.106761,4.16667,0.66,89630.1,43130.7
